Ident,Lat,Lon,Alt
VEAN,28.17531550,94.80203500,274
MPCE,7.98783450,-80.40973750,10
WMKA,6.18966550,100.39818350,5
KAPN,45.07839225,-83.55986175,210
YAPH,-23.65302044,146.58241208,383
FB01,-25.20000000,25.71665000,1173
07VA,36.81958361,-78.78306223,107
FSAL,-7.00478300,52.72624700,3
46U,43.18168342,-111.03839272,1717
E38,30.38432850,-103.68364300,1376
M45,38.73475700,-119.76704450,1788
00TS,32.60763555,-97.24195778,204
LSMA,46.94333350,8.28500000,445
YALP,-20.98474222,137.83245471,200
YALD,-19.29080156,136.07970375,216
WS74,43.16305277,-88.82454723,251
48VA,39.29065694,-78.35083889,341
NJ96,39.52622694,-74.95656028,35
AK75,59.18720694,-138.43923584,9
ENAT,69.97735100,23.36543300,3
SBAT,-9.86609000,-56.10620400,289
SA41,-31.65027778,-64.36888889,540
09CL,39.11375000,-121.05652900,693
0TA7,30.15068300,-103.89833850,1433
SBHT,-3.25390550,-52.25397600,112
EDAC,50.98181550,12.50636350,195
10FD,30.58797194,-85.06992112,43
YALT,-35.37091108,136.86201442,87
LOAR,48.66623214,16.82519413,184
SWGR,-16.92166710,-53.54194260,825
SJYG,2.76500000,-62.22138889,72
SWAU,-14.52333260,-56.40139010,259
SDXF,-14.12102750,-47.53086100,366
SNAI,-9.08333300,-45.95055770,295
YADS,-26.53755020,139.26602521,32
MS83,32.02959833,-90.10147306,259
CJL6,49.09472075,-97.53652925,246
KAOO,40.29648000,-78.31992150,458
PS77,40.56951194,-78.35668056,335
KAAT,41.48299344,-120.56535324,1333
KLTS,34.67060000,-99.26629533,421
KAXS,34.69878200,-99.33810000,437
09VA,36.97651777,-80.49394362,724
KAVK,36.77207875,-98.67042100,449
MP21,8.77038750,-82.66435550,1524
SA43,-33.04638889,-60.59694444,26
LPAR,38.88318300,-9.02994200,3
64F,31.64375805,-100.96955278,745
6R5,29.41551444,-95.28910223,13
ESUV,65.64582820,21.06138800,69
UOOO,69.31105300,87.33222713,181
LILB,45.76944350,9.16111090,384
SEPS,-3.31965250,-79.76916500,7
